Id2,Geography,Total; Estimate; Households,Total; Estimate; Population 18 to 24 years,Gross Rent,Housing Units,Pop,Total for all sectors,Year,"Agriculture, forestry, fishing and hunting_norm","Mining, quarrying, and oil and gas extraction_norm",Utilities_norm,Construction_norm,Manufacturing_norm,Wholesale trade_norm,Retail trade_norm,Transportation and warehousing_norm,Information_norm,Finance and insurance_norm,Real estate and rental and leasing_norm,"Professional, scientific, and technical services_norm",Management of companies and enterprises_norm,Administrative and support and waste management and remediation services_norm,Educational services_norm,Health care and social assistance_norm,"Arts, entertainment, and recreation_norm",Accommodation and food services_norm,Other services (except public administration)_norm,Industries not classified_norm,Pop norm travel time,Est_%_change
15540,"Burlington-South Burlington, VT Metro Area",84977,29850,27511,93125,213280,6672,2012,0.001648681,0.001348921,0.001049161,0.112410072,0.037470024,0.04721223,0.161121103,0.023081535,0.025179856,0.057853717,0.039118705,0.122452038,0.005395683,0.050359712,0.017386091,0.102218225,0.018585132,0.081684652,0.09367506,0.0007494,11.27278695,0.011675512
15940,"Canton-Massillon, OH Metro Area",161763,36149,49762,178693,403455,8803,2012,0.000795183,0.005225491,0.002953539,0.090764512,0.062137908,0.047256617,0.151880041,0.02453709,0.011246166,0.06827218,0.033397705,0.079859139,0.005566284,0.052822901,0.010791776,0.117459957,0.015790072,0.091786891,0.12643417,0.001022379,10.05315339,0.000227247
15980,"Cape Coral-Fort Myers, FL Metro Area",245100,49298,78140,372213,645293,16075,2012,0.000870918,0.000311042,0.001804044,0.125536547,0.022768274,0.043919129,0.156329705,0.020031104,0.012877138,0.061399689,0.074463453,0.119066874,0.003670295,0.073903577,0.009517885,0.09163297,0.0162986,0.073716952,0.091384137,0.000497667,10.05457986,0.028536695
16180,"Carson City, NV Metro Area",21494,4159,10042,23486,54838,1971,2012,0.002536783,0.00456621,0.002029427,0.071029934,0.061390157,0.055809234,0.107052258,0.017250127,0.029426687,0.063926941,0.057838661,0.148148148,0.00608828,0.070522577,0.00608828,0.115169964,0.024860477,0.080669711,0.073566717,0.002029427,6.985210985,-0.046444122
16220,"Casper, WY Metro Area",32065,7380,10079,34891,78621,2937,2012,0.001702417,0.050732039,0.004766769,0.11814777,0.028600613,0.066053796,0.12495744,0.053796391,0.009193054,0.049029622,0.054817841,0.096016343,0.004426285,0.049370106,0.008852571,0.103847463,0.013959823,0.068437181,0.092611508,0.000680967,8.997405273,0.012060648
16300,"Cedar Rapids, IA Metro Area",102818,24982,26421,113291,261761,6476,2012,0.002625077,0.000926498,0.002779494,0.105620754,0.041229154,0.064546016,0.136504015,0.036133416,0.022235948,0.078134651,0.037677579,0.087090797,0.007720815,0.051729463,0.012044472,0.101451513,0.015750463,0.088480544,0.106701668,0.000617665,9.437272932,0.011558888
16580,"Champaign-Urbana, IL Metro Area",92073,50880,38138,101903,234072,4808,2012,0.002703827,0.000415973,0.002079867,0.084650582,0.033069884,0.051996672,0.150790349,0.033485857,0.022462562,0.074251248,0.043053245,0.100873544,0.006239601,0.046381032,0.014559068,0.086522463,0.015391015,0.119384359,0.111064892,0.00062396,8.801800301,-0.003523316
16620,"Charleston, WV Metro Area",127153,23442,32863,142765,305091,5621,2012,0.002134851,0.018146237,0.006760363,0.068848959,0.023127557,0.050880626,0.149617506,0.030065825,0.01992528,0.062266501,0.043230742,0.101405444,0.009428927,0.040917986,0.007116171,0.141611813,0.014766056,0.085927771,0.123287671,0.000533713,9.538006693,-0.206745696
16820,"Charlottesville, VA Metro Area",77795,27695,27932,90509,206414,5852,2012,0.010423787,0.002392344,0.002221463,0.114149009,0.029562543,0.028879016,0.143882433,0.016917293,0.023581681,0.059466849,0.048017772,0.135680109,0.004613807,0.056220096,0.020334928,0.095010253,0.016062884,0.094326726,0.097231716,0.00102529,10.58864709,0.056890013
16860,"Chattanooga, TN-GA Metro Area",207794,49682,69231,236312,539094,11035,2012,0.001540553,0.000996828,0.001721794,0.069959221,0.050475759,0.057453557,0.174173086,0.027276846,0.015496149,0.071499773,0.03978251,0.085455369,0.006887177,0.044676031,0.010421386,0.116266425,0.013683734,0.095967377,0.115450838,0.000815587,9.770633693,0.011179327
